# spec/derived/appendix-a.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every row of every Appendix A table, in document order: the class that lists the key, the key, and the Remarks cell in both locales.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: ad771cad8de6bae9311db70920802ac43ce400a771a380b386503eb1fa346fcd

class	key	remark-en	remark-ja
cl-16	30D2		
cl-16	30D3		
cl-16	30D4		
cl-16	30D5		
cl-16	30D6		
cl-16	30D7		
cl-16	30D8		
cl-16	30D9		
cl-16	30DA		
cl-16	30DB		
cl-16	30DC		
cl-16	30DD		
cl-16	30DE		
cl-16	30DF		
cl-16	30E0		
cl-16	30E1		
cl-16	30E2		
cl-16	30E4		
cl-16	30E6		
cl-16	30E8		
cl-16	30E9		
cl-16	30EA		
cl-16	30EB		
cl-16	30EC		
cl-16	30ED		
cl-16	30EF		
cl-16	30F0		
cl-16	30F1		
cl-16	30F2		
cl-16	30F3		
cl-16	30F4		
cl-16	30AB 309A		
cl-16	30AD 309A		
cl-16	30AF 309A		
cl-16	30B1 309A		
cl-16	30B3 309A		
cl-16	30BB 309A		
cl-16	30C4 309A		
cl-16	30C8 309A		
cl-16	30F7		
cl-16	30F8		
cl-16	30F9		
cl-16	30FA		
cl-17	003D		
cl-17	2260		
cl-17	2252		
cl-17	2243		
cl-17	2245		
cl-17	2248		
cl-17	2261		
cl-17	2262		
cl-17	003C		
cl-17	003E		
cl-17	2266		
cl-17	2267		
cl-17	226A		
cl-17	226B		
cl-17	2276		
cl-17	2277		
cl-17	22DA		
cl-17	22DB		
cl-17	2227		
cl-17	2228		
cl-17	2305		
cl-17	2306		
cl-17	2282		
cl-17	2283		
cl-17	2284		
cl-17	2285		
cl-17	2286		
cl-17	2287		
cl-17	228A		
cl-17	228B		
cl-17	2208		
cl-17	220B		
cl-17	2209		
cl-17	222A		
cl-17	2229		
cl-17	2225		
cl-17	2226		
cl-17	21D2		
cl-17	21D4		
cl-17	2194		
cl-17	223D		
cl-17	221D		
cl-17	22A5		
cl-17	2295		
cl-17	2297		
cl-18	002B		
cl-18	2212		
cl-18	00D7		
cl-18	00F7		
cl-18	00B1		
cl-18	2213		
cl-19	0026		
cl-19	002A		
cl-19	002F		
cl-19	0030		
cl-19	0031		
cl-19	0032		
cl-19	0033		
cl-19	0034		
cl-19	0035		
cl-19	0036		
cl-19	0037		
cl-19	0038		
cl-19	0039		
cl-19	0040		
cl-19	0041		
cl-19	0042		
cl-19	0043		
cl-19	0044		
cl-19	0045		
cl-19	0046		
cl-19	0047		
cl-19	0048		
cl-19	0049		
